ANG,TRQ,ANG_pred,TRQ pred,MAE,Anomaly
-65.00001,2453.0,-63.943752,2446.5786,0.0051774680614471436,False
13.999999,2441.0,15.787825,2431.2664,0.008221954107284546,False
19.0,2441.0,20.819595,2431.1345,0.008348502218723297,False
-51.0,2441.0,-49.258686,2431.7578,0.007894530892372131,False
-54.999996,2442.0,-53.38646,2433.323,0.007369130849838257,False
84.0,2451.0,85.096054,2441.2979,0.006822064518928528,False
43.0,2441.0,44.653503,2430.4722,0.008331917226314545,False
19.0,2441.0,20.819595,2431.1345,0.008348502218723297,False
46.0,2441.0,47.601944,2430.3608,0.008281834423542023,False
7.500003,3661.5,-14.899502,3687.3298,0.05716431140899658,True
-103.0,2887.0,-103.09469,2877.6348,0.004656583070755005,False
-85.99999,2642.0,-85.97476,2638.0393,0.001939624547958374,False
-39.0,2442.0,-37.17404,2431.9417,0.008453324437141418,False
-63.000008,2443.0,-61.72722,2435.7085,0.006026029586791992,False
49.0,2443.0,50.54123,2432.3528,0.008164092898368835,False
16.999998,2442.0,18.805477,2432.2043,0.008286982774734497,False
1.9999988,2442.0,3.6099405,2432.5315,0.007739529013633728,False
-69.00001,2455.0,-68.15159,2449.425,0.004357725381851196,False
-23.000002,2441.0,-21.426725,2431.1147,0.007864758372306824,False
69.0,2386.0,70.30992,2373.534,0.008568599820137024,False
-89.99999,2705.0,-90.23624,2697.7458,0.003933131694793701,False
-68.00001,2443.0,-66.9658,2436.6548,0.005097031593322754,False
16.999998,2441.0,18.810328,2431.187,0.008304886519908905,False
-73.0,2473.0,-72.48186,2469.099,0.00289800763130188,False
-67.00001,2483.0,-66.33992,2478.819,0.0033158063888549805,False
-0.9999994,2442.0,0.5602072,2432.5615,0.0076256245374679565,False
36.0,2440.0,37.749634,2429.6526,0.008438274264335632,False
47.0,2441.0,48.583344,2430.3213,0.008263371884822845,False
-69.00001,2479.0,-68.38088,2474.8591,0.0032146871089935303,False
-65.00001,2468.0,-64.11371,2462.4895,0.004402816295623779,False
38.0,2439.0,39.727974,2428.5488,0.00844450294971466,False
-75.0,2538.0,-74.752,2537.1467,0.0009034574031829834,False
-41.0,2440.0,-39.14381,2429.9504,0.008509621024131775,False
32.0,2442.0,33.782635,2431.8433,0.00841350108385086,False
-47.000004,2440.0,-45.173355,2430.3193,0.00827452540397644,False
-63.000008,2463.0,-61.971233,2456.8162,0.005009204149246216,False
-20.000004,2442.0,-18.479908,2432.228,0.007704257965087891,False
34.0,2442.0,35.765648,2431.7925,0.008403666317462921,False
-59.999996,2441.0,-58.56694,2433.0825,0.006645381450653076,False
-71.0,2495.0,-70.55817,2492.114,0.0022611916065216064,False
71.0,2413.0,72.16988,2400.3472,0.00837746262550354,False
-88.99999,2669.0,-89.11977,2663.7852,0.0027272701263427734,False
4.999997,2442.0,6.6609983,2432.4836,0.007864579558372498,False
-51.0,2441.0,-49.258686,2431.7578,0.007894530892372131,False
-41.0,2441.0,-39.15437,2430.979,0.008474737405776978,False
-26.0,2441.0,-24.370363,2431.013,0.008026078343391418,False
-16.999998,2439.0,-15.504249,2429.3323,0.0076058655977249146,False
-11.000001,2442.0,-9.538438,2432.4932,0.0074607133865356445,False
-14.999999,2442.0,-13.530464,2432.3923,0.007524743676185608,False
4.999997,2441.0,6.6647873,2431.482,0.00787287950515747,False
1.9999988,2441.0,3.6132228,2431.5325,0.007745563983917236,False
-63.000008,2445.0,-61.752464,2437.7996,0.005931973457336426,False
67.0,2400.0,68.272865,2387.295,0.008608400821685791,False
77.0,2382.0,78.27173,2369.803,0.008363768458366394,False
324.0,2398.0,293.6014,2498.599,0.10884228348731995,True
-39.0,2442.0,-37.17404,2431.9417,0.008453324437141418,False
13.999999,2441.0,15.787825,2431.2664,0.008221954107284546,False
28.999998,2443.0,30.799427,2432.9531,0.008394643664360046,False
